1012105,PANNOLINO MUTANDINA PICCOLA,0.41,4
31206003,VENTRIERA POST-OPERATORIA,66.99,4
31206006,VENTRIERA PER PTOSI VISCERALE,86.63,4
31206009,VENTRIERA PER SVENTRAMENTO SEMPLICE,108.53,4
31206012,VENTRIERA PER SVENTRAMENTO ADDOME,152.16,4
31206015,VENTRIERA PER SVENTRAMENTO ADDOME,193.99,4
31206033,CINTO ERNIARIO IN TESSUTO ELASTICO,59.79,4
31206036,CINTO ERNIARIO A MOLLA,98.96,4
31206039,CINTO ERNIARIO INGUINALE DOPPIO,79.32,4
31206042,CINTO ERNIARIO INGUINALE DOPPIO,110.68,4
31206045,CINTO ERNIARIO SCROTALE NORMALE,114.17,4
31206103,AGG. FORO PER STOMIA SU VENTRIERA,32.04,4
31208048,CINTO ERNIARIO SCROTALE SU MISURA,152.82,4
33303003,CUSCINO IN FIBRA CAVA SILICONATA,77.47,4
33303006,CUSCINO IN GEL FLUIDO,77.47,4
33303009,CUSCINO IN MAT.VISCOELASTICO COMPAT.,185.92,4
33303012,CUSCINO COMPOSITO CON BASE ANATOMICA,258.23,4
33303015,CUSCINO CON BOLLE D'ARIA COMUNIC.,335.7,4
33303018,CUSCINO CON BOLLE D'ARIA,0,4
33306003,MATERASSO VENTILATO IN ESPANSO,116.2,4
33306006,MATER. VENTILATO IN ESPANSO COMPOSITO,258.23,4
33306009,MATERASSO IN FIBRA CAVA SILICONATA,167.85,4
33306012,MATERASSO IN FIBRA CAVA SILICONATA,232.41,0
33306015,MATERASSO AD ACQUA,139.44,4
33306018,MATERASSO AD ARIA CON CAMERA,232.41,4
33306021,MATER. AD ELEMENTI INTERSCAMBIABILI,0,4
33306024,TRAVERSO IN VELLO NATURALE,0,0
33306027,TRAVERSA IN MATERIALE SINTETICO,0,0
33306030,TRAVERSA IN FIBRA CAVA SILICONATA,0,0
33306033,TRAV. A BOLLE D'ARIA MICROINTERSCAMB.,0,0
33309003,PROTEZIONE PER TALLONE IN MATERIALE,16.27,4
33309006,PROTEZIONE PER TALLONE IN FIBRA CAVA,16.27,4
33309009,PROTEZIONE PER GOMITO IN MATERIALE,23.24,4
33309012,PROTEZIONE PER GOMITO IN FIBRA CAVA,23.24,4
33309015,PROTEZIONE PER GINOCCHIO IN MATERIALE,25.82,0
33309018,PROTEZIONE PER GINOCCHIO IN FIBRA,0,0
34821003,STABILIZZATORE PER STATICA IN POSTURA,409.03,4
34821006,STABILIZZATORE PER STATICA IN POSTURA,536.93,4
34821009,STABILIZZATORE PER STATICA IN POSTURA,495.44,4
34821033,STABILIZZATORE STATICA POST.ERETTA,381.11,4
34821036,STABILIZZATORE STATICA POST. ERETTA,685.99,4
34821063,STAB.RE PER STATICA IN POSTURA SUPINA,828.25,4
34821066,STAB.RE PER STATICA IN POSTURA SUPINA,984.91,4
34821069,STAB.RE PER STATICA IN POSTURA SUPINA,1033.21,4
34821081,STAB.RE MOBILE IN POSTURA ERETTA,1524.16,4
34821103,TAVOLO DA LAVORO POSIZ.LE IN ALTEZZA,105.27,4
34821106,TAVOLO DA LAVORO POS.LE ALTEZZA/INCL.,167.7,4
34821109,REGOLAZ. PRONO-SUPINAZIONE PIEDE,60.75,4
34821112,REGOLAZ. INTA-EXTRA ROTAZIONE PIEDE,52.35,4
34821115,REGOLAZ. FLESSO-ESTENSIONE DEL PIEDE,56.07,4
34821118,AGG. SOSTEGNO O PRESA REGOLAB. TRONCO,89.12,4
34821121,QUATTRO RUOTE PIROETTANTI MM.80,63.22,4
34821124,AGG. REGOLAZIONE PISTONE OLEODINAMICO,246.91,4
34821127,AGG. REGOLAZIONE MOTORE ELETTRICO,621.59,4
34821136,AGG. REGOLAZIONE PISTONE A GAS,246.91,4
34821201,AGG. DISPOSITIVO DI FRENO,121.09,4
34821204,AGG. SOSTEGNO PER ARTO SUPERIORE,174.45,4
34821207,AGG. DIVARICATORE,60.57,4
37809003,STAB.RE DEAMB.RE IN POSIZIONE ERETTA,1697.14,4
60309003,BUSTO SU MISURA CON ALL. CENTRALE UOM,112.36,4
60309004,BUSTO SU MISURA CON ALL. CENTRALE DON,145.63,4
60309005,BUSTO IN STOFFA DOPPIA SU MISURA UOM,162.75,4
60309006,BUSTO IN STOFFA DOPPIA SU MISURA DONN,169.22,4
60309007,BUSTO STOFFA E ELSTICA SU MISURA UOMO,143.66,4
60309008,BUSTO STOFFA E ELASTICA DONNA,162.46,4
60309009,BUSTO STOFFA DOPPIA SU MISURA UOMO,192.81,4
60309010,BUSTO IN STOFFA DOPPIA SU MISURA DONN,231.59,4
60309011,BUSTO IN STOFFA E ALLAC. LATER. UOMO,156.83,4
60309012,BUSTO IN STOFFA E ALLAC. LATER. DONNA,202.54,4
60309013,BUSTO STOFFA DOPPIA E ALLAC. LAT. UOM,190.95,4
60309014,BUSTO STOFFQA DOPPIA E ALL. LAT. DONN,228.21,4
60309015,BUSTO IN STOFFA ARMATA SU MISURA,188.13,4
60309016,BUSTO IN STOFFA ARMATA SU MISURA,231.54,4
60309017,BUSTO IN STOFFA ARMATA SU MISURA,206.26,4
60309018,BUSTO IN STOFFA ARMATA SU MISURA,257.03,4
60309026,BUSTO RIGIDO CON ASCELLARI,384.2,4
60309027,BUSTO RIGIDO CON ASCELLARI,288.39,4
60309028,BUSTO RIGIDO CON ASCELLARI,619.4,4
60309029,BUSTO RIGIDO CON ASCELLARI,466.9,4
60309030,BUSTO RIGIDO CON ASCELLARI,398.22,4
60309031,BUSTO RIGIDO CON ASCELLARI,674.12,4
60309033,BUSTO RIGIDO SENZA ASCELLARI,440.72,4
60309034,BUSTO RIGIDO SENZA ASCELLARI,295.53,4
60309035,BUSTO RIGIDO SENZA ASCELLARI,637.25,4
60309036,BUSTO A 3 PUNTI PER IPERTEN. DORSOLO.,293.46,4
60309038,BUSTO TIPO AGOSTINI,731.54,4
60309039,BUSTO TIPO LIONESE,807.82,4
60309042,BUSTO LIONESE A DORSO CURVO,861.46,4
60309045,BUSTO LIONESE A TRE PUNTI,548.98,4
60309048,BUSTO UNIVALVA DORSO LOMBARE,391.02,4
60309051,BUSTO UNIVALVA DORSO LOMBARE,500.4,4
60309054,BUSTO TIPO CHENEAU,686.45,4
60309057,BUSTO BIVALVA DORSO LOMBARE,404.59,4
60309060,BUSTO RIGIDO TIPO BOSTON LOMBARE,483.23,4
60309063,BUSTO RIGIDO TIPO BOSTON DORSOLOMBARE,576.78,4
60309066,BUSTO RIGIDO TIPO BOSTON DORSOLOMBARE,638.99,4
60309069,CORSETTO PER DORSO CURVO CON MOLLONE,424.62,4
60309070,CORSETTO PER DORSO CURVO CON MOLLONE,284.68,4
60309072,CORSETTO PER DORSO CURVO CON MOLLONE,448.83,4
60309073,CORSETTO PER DORSO CURVO CON MOLLONE,437.62,4
60309075,BUSTO TIPO AGOSTINI ANTIGRAVITARIO,735.42,4
60309078,REGGISPALLE CON ASCELLARI,100.77,4
60309079,REGGISPALLE CON ASCELLARI,122.67,4
60309080,REGGISPALLE CON ASCELLARI,134.54,4
60309103,AGG. ASCELLARE CON APPOGGIO METALLICO,130.71,4
60309106,AGG. CUSCINETTO MODELLATO DI SOSTEGNO,38.39,4
60309109,AGG. FASCIA EPIGASTRICA,26.45,4
60309112,AGG. FASCIA AI TROCANTERI,33.66,4
60309115,AGG. MOLLA SUPPLEMENTARE,5.23,4
60309118,AGG. PATTINA SOTTO PUBE,9.73,4
60309121,AGG. SPALLACCI SEMPLICI,25.51,4
60309124,AGG. SPALLACCI MODELLATI,29.1,4
60309125,AGG. TAGLIA OLTRE CM. 11O,37.61,4
60309126,AGG. TESSUTO ALTO FINO ALLE ASCELLE,27.81,4
60309127,AGG. TRAZIONE ELASTICA DI RACCORDO,28.94,4
60309128,AGG. IMBOTTITURA COMPENSATIVA,18.02,4
60309130,AGG. CUSCINETTO DI COMPRESSIONE,28.82,4
60309133,AGG. FIBBIA CON ATTACCO,4.84,4
60309136,AGG. PIASTRA DI COMPRESSIONE,23.14,4
60309139,AGG. RIVESTIMENTO MORBIDO INTERNO,42.84,4
60309142,AGG. ASTA DI TRAZIONE,29.21,4
60309145,AGG. COLLARE,47.96,4
60309148,AGG. GORGERA,114.72,4
60309151,CUSCINETTO DI COMPENS. ESTETICA,112.19,4
60309154,PELOTTA PER LA EST. SPINTA DORSOLOMB.,62.54,4
60309157,AGG. ART. REGISTRABILI A LIVELLO,47.28,4
60309163,GORGERA CON ASTA REG. IN ALT. E CIRC.,114.72,4
60309169,AGG. PLACCA DI COMPRESSIONE,146.03,4
60309172,AGG. PELOTTA PNEUMATICA POSTER.,141.35,4
60309223,AGG. PELOTTA ADDOMINALE,9.91,4
60309503,RIP. ABBASSARE PARTE ANTERIORE,24.66,4
60309506,RIP. ABBASSARE TOTALMENTE STOFFA,31.92,4
60309509,RIP. ALLARGARE PARTE ANTERIORE,21.51,4
60309512,RIP. ATTACCO ALLACCIATURA,9.12,4
60309515,RIP. CUSCINETTO,43.85,4
60309518,RIP. FASCIA EPIGASTRICA,31.92,4
60309521,RIP. FASCIA AI TROCANTERI,32.71,4
60309524,RIP. FETTUCCIA A GANCI,20.99,4
60309527,RIP. FIBBIA CON RELATIVO ATTACCO,10.36,4
60309530,RIP. GIARRETTIERA COMPLETA,10.07,4
60309533,RIP. LACCIO,0.62,4
60309536,RIP. LATERALE IN ELASTICO,19.93,4
60309539,RIP. MOLLA,4.5,4
60309542,RIP. ORLATURA TOTALE,22.46,4
60309545,RIP. ORLATURA PARZIALE,14.86,4
60309548,RIP. PARTE ANTERIORE IN ELASTICO,50.77,4
60309551,RIP. PATTINA SOTTO PUBE,9.73,4
60309554,RIP. RIVESTIMENTO AL CUSCINETTO,17.68,4
60309557,RIP. SOSTITUZIONE DAVANTINO,32.09,4
60309560,RIP. SPALLACCI SEMPLICI,32.09,4
60309563,RIP. SPALLACCI MODELLATI,37.38,4
60309566,RIP. TELINI CENTRALI ANTERIORI,56.35,4
60309569,RIP. TESSUTO ALTO FINO ASCELLE,45.54,4
