id,codice,descrizione,prezzo
,61218283,AGG. ARTICOLAZ. COXO FEMORALE LIBERA,176.14
,61218286,AGG. ARTICOLAZIONE COXO FEMORALE,198.21
,61218289,AGG. ARTIC. COXO-FEMORALE CON ARRESTO,227.77
,61218292,AGG. ARTICOLAZIONE COXO-FEMORAOLE,302.36
,61218295,AGG. ARTICOLAZIONE COXO FEMORALE,1023.76
,61218313,AGG. APPOGGIO ISCHIATICO CON IMBOTTI.,43.17
,61218316,AGG. RIVEST. PER SCARPETTA DI CONTEN.,29.83
,61218319,AGG. RIALZO APPLICABILE AL SANDALO,45.09
,61218322,AGG. RIALZO APPLICABILE AL SANDALO,79.66
,61218325,AGG. CINTURA ADDOMINALE PER ARTICOLA.,43.01
,61218328,AGG. RIVEST. DELLE DUE ASTE VERTICALI,79.6
,61218503,RIP. ALLACCIATURA ELEMENTO MOBILE,10.02
,61218506,RIP. ATTACCO CON FIBBIA,6.37
,61218509,RIP. CINGHIA,6.14
,61218512,RIP. RIVESTIMENTO PER CAVIGLIA,28.2
,61218515,RIP. RIVESTIMENTO PER GINOCCHIO,38.23
,61218518,RIP. RIV. DOCCIA PER PELVIFEMORALE,56.52
,61218521,RIP. RIVESTIMENTO PER DOCCIA UNILA,56.52
,61218533,RIP. ALLACCIATURA ELEMENTO MOBILE,10.02
,61218536,RIP. CERCHIELLO,23.2
,61218539,RIP. ATTACCO CON FIBBIA,5.8
,61218542,RIP. CINGHIA,6.14
,61218545,RIP. SANDALO,32.31
,61218563,RIP. CINTURA ADDOMINALE,20.83
,61218566,RIP. RIVESTIMENTO ANTISDRUCCIOLO,26.18
,61218569,RIP. TRAZIONE ELASTICA AL PIEDE,87.03
,61218572,RIP. STAFFE ALLACCIATURA MOB. O FISS.,10.02
,61218593,RIP. SMONT. RIMONT. ARTIC. TIBIOTARS.,14.36
,61218596,RIP. SMONT.RIMONT.ARTIC.GINOCCHIO,14.36
,61218599,RIP. SMONT.RIMONT.ARTICOL.ANCA,14.36
,61218602,RIP. ALLACCIATURA ELEMENTO MOB. FIS,10.64
,61218605,RIP. ALLUNGAMENTO DELL'ASTA,68.96
,61218608,RIP. ASTA MALLEOLARE RIGIDA,38.34
,61218611,RIP. ATTACCO CON FIBBIA,6.81
,61218614,RIP. CINGHIA,6.53
,61218617,RIP. COPRIARTICOLAZIONE GINOCCHIO,4.39
,61218620,RIP. COPRIARTICOLAZIONE MALLEOLA.,4
,61218623,RIP. CONTENTORE PER GINOCCHIO,46.61
,61218626,RIP. CUSCINETTO DI CONTENZIONE,27.98
,61218629,RIP. ELEMENTO DI CONTENZIONE,71.89
,61218632,RIP. ELEMENTO DI CONTENZIONE,71.89
,61218635,RIP. ESTETIZZAZIONE DEL POLPACCIO,126.44
,61218638,RIP. FISSAGGIO CERCHIELLO,18.29
,61218641,RIP. PROLUNGA PER LEVA,16.21
,61218653,RIP. REVISIONE ARTICOLAZIONE,28.48
,61218656,REVISIONE ARTICOLAZIONE GINOCCHIO,28.48
,61218659,RIP. ARTICOLAZIONE LIBERA,28.48
,61218662,RIP. ARTICOLAZIONE BLOCCABILE,28.48
,61218665,RIP. REVISIONE ARTICOLAZIONE,28.48
,61218668,RIP. REVISIONE ARRESTO,28.48
,61218671,RIP. REVISIONE ARRESTO,28.48
,61218674,RIP. RIVESTIMENTO DI CONTENZIONE,215.89
,61218683,RIP. RIALZO AL SANDALO FINO A cm.5,45.09
,61218686,RIP. RIALZO AL SANDALO OLTRE cm.5,79.66
,61218689,RIP. RIVESTIMENTO DI CONTENZIONE,151.04
,61218692,RIP. SANDALO,76.17
,61218695,RIP. APPOGGIO ISCHIATICO,55.5
,61218701,RIP. ARTICOLAZIONE GINOCCHIO LIBERA,106.5
,61218704,RIP. ARTIC.GINOCC. CON BLOCCAGGIO,163.93
,61218707,RIP. ARTICOL. GINOCCHIO CON ASTA,114.61
,61218710,RIP. R-GO E AR-GO PREV. DECOR. GARAN.,312.76
,61218713,RIP. R-GO E AG-GO PREV. DECOR. GARAN.,899.12
,61218719,RIP. ASTA PER COSCIALE,48.3
,61218722,RIP. CERCHIELLO,36.08
,61218725,RIP. MOLLA INTERNA,46.16
,61218728,RIP. RIVESTIMENTO CERCHIELLO,21.33
,61218731,RIVESTIMENTO SCARPETTA DI CONTENZIONE,43.63
,61218734,RIP. SCARPETTA DI CONTENZIONE,76.33
,61218737,RIP. SUOLETTA METALLICA,35.19
,61218740,RIP. ASTA DEL COSCIALE,75.99
,61218743,RIP. ASTA DEL GAMBALE,59.84
,61218746,RIP. PIEDE RIGIDO,173.55
,61218749,ARTICOLAZIONE AL MALLEOLO,65.19
,61218752,ARTIC.AL MALL. CON SPINTA AL TALISMO,121.82
,61218755,ARTICOLAZIONE AL MALLEOLO,139.95
,61218773,RIVESTIM. MORBIDO INTERNO AL SANDALO,19.09
,61218776,ARTICOLAZIONE COXO FEMORALE LIBERA,185.2
,61218779,ARTICOLAZ. COXO FEMORALE CON ARRESTO,207.33
,61218782,RIP. ARTIC. COXOFEMOR. ARTICOLATA,236.82
,61218785,ARTICOLAZIONE COXO FEMORALE,311.41
,61218788,RIP. R-GO E AR-GO,1023.76
,61218791,RIP. R-GO E AR-GO,29.62
,61218794,RIP. R-GO E AR-GO,77.06
,61218797,RIP. R-GO E AR-GO,226.81
,61218800,RIP. R-GO E AR-GO,122.1
,61218803,RIP. R-GO E AR-GO,85.85
,61218806,RIP. R-GO E AR-GO,163.82
,61218809,RIP. R-GO E AR-GO,293.69
,61218812,RIP. R-GO E AR-GO,55
,61218815,RIP. R-GO E AR-GO,267.68
,61218818,RIP. R-GO E AR-GO,231.31
,61218821,RIP. R-GO E AR-GO,81.85
,61218830,IMBOTTITURA E APPOGGIO ISCHIATICO,37.5
,61218833,CINTURA ADDOMINALE PER ART. COXO FEM.,61.08
,61803003,PROTESI PER AMPUTAZIONE DITA,135.16
,61803033,PROTESI PER AMPUTAZIONE DITA E MANO,250.62
,61803036,PROTESI PER AMPUTAZIONE DITA E MANO,306.41
,61803039,PROTESI PER AMPUTAZIONE DITA E MANO,376.38
,61803042,PROTESI PER AMPUTAZIONE DITA E MANO,418.71
,61803045,PROTESI PER AMPUTAZIONE DITA E MANO,474.5
,61803060,PROTESI PER AMPUTAZIONE DITA E MANO,270.78
,61803063,PROTESI PER AMPUTAZIONE DITA E MANO,402.67
,61803072,FUNZIONALE AD ENERGIA CORPOREA,664.94
,61806003,PROTESI PER DISARTICOLAZIONE DI POLSO,484.92
,61806009,PROTESI PER DISARTICOLAZIONE DI POLSO,568.85
,61806033,PROTESI PER DISARTICOLAZIONE DI POLSO,999.5
,61806039,PROTESI PER DISARTICOLAZIONE DI POLSO,1116.37
,61806042,PROTESI PER DISARTICOLAZIONE DI POLSO,6567.51
,61809012,PROTESI TRANSRADIALI,601.9
,61809018,PROTESI TRANSRADIALI,685.83
,61809033,PROTESI PER DISARTICOLAZIONE DI POLSO,999.5
,61809039,PROTESI PER DISARTICOLAZIONE DI POLSO,1097.5
,61809063,PROTESI PER DISARTICOLAZIONE DI POLSO,6567.51
,61809066,PROTESI PER DISARTICOLAZIONE DI POLSO,7180.49
,61809069,PROTESI PER DISARTICOLAZIONE DI POLSO,8437.25
,61812003,PROTESI PER DISARTICOLAZIONE GOMITO,1384.38
,61812009,PROTESI PER DISARTICOLAZIONE GOMITO,1230.86
,61812033,PROTESI PER DISARTICOLAZIONE GOMITO,1795.88
,61812039,PROTESI PER DISARTICOLAZIONE GOMITO,1912.7
,61812063,PROTESI PER DISARTICOLAZIONE GOMITO,7965.35
,61812066,PROTESI PER DISARTICOLAZIONE GOMITO,9699.76
,61815003,PROTESI TRANSOMERALI,1384.38
,61815009,PROTESI TRANSOMERALI,1230.86
,61815033,PROTESI TRANSOMERALI,1208.46
,61815039,PROTESI TRANSOMERALI,1292.34
,61815063,PROTESI TRANSOMERALI,1795.88
,61815069,PROTESI TRANSOMERALI,1912.7
,61815081,PROTESI TRANSOMERALI,8354.96
,61815084,PROTESI TRANSOMERALI,10089.42
,61815087,PROTESI TRANSOMERALI,12204.89
,61815090,PROTESI TRANSOMERALI,13251.78
,61815118,AGG. GUANTO DI RIVESTIMENTO COSMETICO,121.25
,61815121,AGG. GUANTO DI RIVESTIMENTO IN PELLE,49.15
,61815127,AGG. POLSO A ROTAZIONE PASSIVA,84.94
,61815130,AGG. POLSO CON ARTIC. SFERICA PASSIVA,175.24
,61815136,AGG. INVASATURA AD ADERENZA TOTALE,126.89
,61815139,AGG. INVASATURA AD ADERENZA TOTALE,162.86
,61815141,AGG. INVASATURA IN MATER. ANALLERGICO,103.87
,61815163,AGG. GANCIO FUNZIONALE CON ATTACCO,487.95
,61815166,AGG. GANCIO FUNZIONALE CON ATTACCO,1017.23
,61815169,AGG. GUANTO DI RIVESTIMENTO COSMETICO,121.37
,61815178,AGG. MANO INTERCAMBIABILE CON ATTACCO,360.45
,61815184,AGG. MOLTIPLICATORE DI AMPIEZZA,201.53
,61815187,AGG. POLSO CON ARTICOLAZIONE ATTIVA,528.43
,61815190,AGG. POLSO CON ARTICOLAZIONE SFERICA,504.17
,61815193,AGG. INVAS. RIVEST. MATE. ANALLERGICO,103.87
,61815503,RIP. SMONT.E RIMONT.DELLA MANO,31.13
,61815506,RIP. SMONT. E RIMONT. DEL POLSO,31.13
,61815509,RIP. SMONT. E RIMONT. DEL GOMITO,36.31
,61815511,RIP. SMONT. E RIMONT. GUANTO COSMETI.,18.13
,61815545,RIP. BRETELLAGGIO PER PROTESI BRACCIO,168.32
,61815578,RIP. GOMITO CON BLOCC. CON AVAMBRACCI,375.98
,61815581,RIP. REVISIONE GOMITO CON BLOCCAGGIO,72.56
,61815596,RIP. GUANTO DI RIVESTIMENTO COSMETICO,130.32
,61815599,RIP. GUANTO RIVEST.PER MANO ORTOPEDIC,49.15
,61815605,RIP. INVASATURA PROTESI DI AVAMBRACCI,399.52
,61815608,RIP. INVASATURA CON PRESA OLEOCRANICA,490.1
,61815611,RIP. ADATTAMENTO INVASAT.OLEOCRANICA,72.56
,61815623,RIP. INVASATURA PER AMPUTAZ.BRACCIO,478.66
,61815626,RIP. INVASATURA AD ADERENZA TOTALE,569.24
,61815629,RIP. ADATTAMENTO INVAS.ADERENZA TOTAL,72.56
,61815653,RIP. MANO CON DITA RIGIDE,125.2
,61815665,RIP. MANO CON DITA RIGIDE POLLICE ART,209.13
,61815668,RIP. REVISIONE DITA RIG.POLLICE ARTIC,72.56
,61815672,RIP. MANO INVOLUCRO MORBIDO,92.27
,61815675,RIP. MANO INDICE, MEDIO E POLLICE,137.24
,61815677,RIP. POLSO FISSO,88.72
,61815683,RIP. POLSO A ROTAZIONE PASSIVA,150.19
,61815689,RIP. POLSO SFERICO PASSIVO,240.49
,61815692,RIP. REVISIONE POLSO SFERICO PASSIVO,54.43
,61815701,RIP. POLSO CUSCINETTO SALVA MANICA,22.97
,61815733,RIP. SMONT. E RIMONT. DELLA MANO,29.05
,61815736,RIP. SMONT. E RIMONT. DEL POLSO,31.92
,61815739,RIP. SMONT. E RIMONT. DEL GOMITO,36.31
,61815740,RIP. SMONT. E RIMONT. GUANTO COSMETI.,18.13
,61815745,RIP. ARTIC.PER LA FLESSO ESTENSIONE,549.32
,61815751,RIP. REVISIONE UNITA'SOLL.AVAMBRACCIO,72.56
,61815754,RIP. CAVETTO TRAZIONE,35.81
,61815757,RIP. ARTO ARTICOLATO LATERALI,753.5
,61815760,RIP. MECCANISMO INTERNO ARTO ARTICOL.,402.72
,61815763,RIP. REVISIONE MECCANISMO INTERNO,40.65
,61815764,RIP. CAVETTO TRAZIONE,43.07
,61815766,RIP. ATTACCO PER MANO,237.11
,61815769,RIP. ATTACCO PER GANCIO,237.11
,61815778,RIP. BRETELLAGGIO PER PROT.AVAMBRACCI,127.33
,61815779,RIP. BRETELLAGGIO PER PROTESI BILATER,186.44
,61815781,RIP. PER PROTESI AMPUTAZIONE BRACCIO,155.03
,61815784,RIP. CALOTTA DI PRESA DEL MONCONE,545.49
,61815787,RIP. REVISIONE CALOTTA PRESA MONCONE,54.43
,61815796,RIP. CUSCINETTO SALVA INDUMENTI,22.97
,61815799,RIP. FILO TRAZIONE C/RELATIVI ATTACCH,215.6
,61815802,RIP. FILO TRAZIONE C/RELATIVI ATTACCH,215.6
,61815805,RIP. GANCIO FUNZIONALE CON ATTACCO,487.95
,61815808,RIP. GANCIO FUNZIONALE CON ATTACCO,1017.23
,61815811,RIP. GANCIO FUNZIONALE CON ATTACCO,36.31
,61815814,RIP. GANCIO FUNZIONALE CON ATTACCO,16.61
,61815817,RIP. GANCIO FUNZIONALE CON ATTACCO,10.36
,61815820,RIP. GANCIO FUNZIONALE CON ATTACCO,12.04
,61815823,RIP. GANCIO FUNZIONALE CON ATTACCO,55.16
,61815826,RIP. GUAINA CON ATTACCHI TERMINALI,92.27
,61815829,RIP. GUANTO DI RIVESTIMENTO COSMETICO,130.32
,61815838,RIP. INVASATURA PER AMP.AVAMBRACCIO,472.13
,61815841,RIP. INVAS. CON RIVE. MAT. ANALLERGIC,503.32
,61815844,RIP. ADATTAMENTO INVASATURA,72.56
,61815847,RIP. INVASATURA PER AMPUT. DI BRACCIO,551.22
,61815850,RIP. INVAS. RIVEST. MAT. ANALLERGICO,582.42
,61815853,RIP. ADATTAMENTO INVASATURA,72.56
,61815856,RIP. MANO REVERSIBILE,360.45
,61815859,RIP. REVISIONE MANO REVERSIBILE,90.74
,61815862,RIP. MANO IRREVERSIBILE,360.45
,61815865,RIP. REVISIONE MANO IRREVERSIBILE,90.74
,61815868,RIP. MOLTIPLICATORE DI AMPIEZZA,292.27
,61815871,RIP. REVISIONE MOLTIPLICATORE AMPIEZZ,54.43
,61815874,RIP. POLSO A ROTAZIONE PASSIVA,150.19
,61815877,RIP. REVISIONE POLSO A ROTAZIONE PASS,54.43
,61815880,RIP. POLSO A ROTAZIONE PASSIVA,298.07
,61815883,RIP. REVISONE POLSO ROTAZIONE PASSIVA,54.43
,61815886,RIP. POLSO CON ARTICOLAZIONE ATTIVA,528.43
,61815889,RIP. REVISIONE POLSO ARTICOL.ATTIVA,72.56
,61815892,RIP. POLSO ARTICOL.SFERICA PASSIVA,504.17
,61815895,RIP. REVISIONE ARTIC.SFERICA PASSIVA,72.56
,61815899,RIP. POLSO ELEME. GOM. CON BLOCCAGGIO,229.9
,61815904,RIP. INVOLUCRO MORBIDO,92.27
,61815907,RIP. GRUPPO DITA /INDICE MEDIO/,63.9
,61815910,RIP. POLLICE,58.43
,61815913,RIP. BIELLA E LEVA DI COLLEGAMENTO,97.61
,61815916,RIP. ATTACCO FILETTATO,72.17
,61815919,RIP. MOLLA CHIUSURA,82.64
,61818003,PROTESI PER DISARTICOLAZIONE SPALLA,1559.11
,61818009,PROTESI PER DISARTICOLAZIONE SPALLA,1641.87
,61821003,PROTESI AMPUTAZIONE SPALLA,1559.11
,61821009,PROTESI AMPUTAZIONE SPALLA,1641.87
,61821063,PROTESI PER DISARTICOLAZIONE SPALLA,11837.01
,61821066,PROTESI PER DISARTICOLAZIONE SPALLA,15255.51
,61821069,PROTESI PER DISARTICOLAZIONE SPALLA,15146.64
,61821072,PROTESI PER DISARTICOLAZIONE SPALLA,16053.87
,61821104,AGG. GUANTO COSMETICO DI RIVESTIMENTO,121.25
,61821106,AGG. POLSO A ROTAZIONE PASSIVA,58.72
,61821109,AGG. POLSO PLURIASSALE,177.27
,61821118,AGG. INVASATURA AD ADERENZA TOTALE,163.14
,61821121,AGG. INVASATURA AD ADERENZA TOTALE,103.87
,61821163,AGG. BRACCIALINO CON ASTE,1081.4
,61821166,AGG. MANIPOLATORE ELETTRICO,3659.44
,61821169,AGG. GUANTO DI RIVESTIMENTO COSMETICO,124.36
,61821181,AGG. RIVEST. TOTALE MATA. ANALLERGICO,110.5
,61821187,DIFFERENZA PER MANO ELETTROMECCANICA,2654.37
,61821190,ARTICOLAZIONE PLURIASSIALE SFERICA,907.23
,61821193,AGG. BATTERIA DI RISERVA,228.27
,61821503,RIP. SMONT. E RIMONT. DELLA MANO,31.13
,61821506,RIP. SMONT. E RIMONT. DEL POLSO,31.13
,61821509,RIP. SMONT. E RIMONT. DEL GOMITO,36.31
,61821512,RIP. SMONT. E RIMONT. DELLA SPALLA,43.35
,61821513,RIP. SMONT. E RIMONT. GUANTO COSMETI.,18.13
,61821515,RIP. RIP.ART.INTRA ED EXTRAROTATORIA,108.81
,61821521,RIP. ART.PER PROTESI DI SPALLA SFERIC,344.01
,61821524,RIP. REVISIONE ART.PROT.SPALLA SFERIC,36.31
,61821527,RIP. ART.SPALLA PLURIASSIALE,293.01
,61821530,RIP. REVISIONE ART.SPALLA PLURIASSIAL,36.31
,61821533,RIP. BRETELLAGGIO PER PROTESI BRACCIO,168.37
,61821536,RIP. BRETELLAGGIO PER DISART.SPALLA,168.37
,61821538,RIP. BRATEL. PER PROT. AMPUT. BRACCIO,64.96
,61821541,RIP. BRATELLAG. PROT. AMPUT. DI SPALL,81.9
,61821545,RIP. CALZA DI RIVEST.PER AMPUT.BRACCI,48.13
,61821548,RIP. CALZA DI RIVEST.DISART.BRACCIO,67.95
,61821560,RIP. GOMITO CON BLOCCAGGIO,302.3
,61821563,RIP. REVISIONE GOMITO CON BLOCCAGGIO,129.48
,61821566,RIP. GUANTO COSMETICO DI RIVESTIMENTO,130.32
,61821569,RIP. INVASATURA PER AMPUT.DI BRACCIO,491.9
,61821572,RIP. INVASATURA AD ADERENZA TOTALE,582.47
,61821575,RIP. ADATTAMENTO INVASATURA ADER.TOT.,72.56
,61821578,RIP. BRATELLAG. PER DISART. DI SPALLA,537.61
,61821584,RIP. ADATTAMENTO DISARTICOLAZ. SPALLA,72.56
,61821587,RIP. BRATELLAG. AMPUT. INTERSCAPOLARE,557.14
,61821593,RIP. ADATTAMENTO AMPUT. INTERSCAPOLAR,72.56
,61821596,RIP. INVOLUCRO MORBIDO,95.65
,61821599,RIP. MANO CON DITA RIGIDE,125.2
,61821611,RIP. MANO 4 DITA RIGIDE POLLICE ARTIC,209.13
,61821614,RIP. REVIS.MANO DITA RIGIDE POLL.ART.,72.56
,61821615,RIP. MANO TELAIO, MOLLA DI RICAMBIO,85.9
,61821618,RIP. MANO INDICE, MEDIO E POLLICE,142.88
,61821621,RIP. MANO ATTACCO FILETTATO,95.99
,61821623,RIP. POLSO FISSO,66.65
,61821635,RIP. POLSO PLURIASSIALE,214.03
,61821638,RIP. REVISIONE POLSO PLURIASSIALE,54.43
,61821641,RIP. RIVEST.PER AMPUTAZIONE DI BRACCI,132.69
,61821644,RIP. RIVEST.PER DISARTICOL.DI SPALLA,171.47
,61821647,RIP. RIVEST.PER AMPUTAZ.INTERSCAPOLAR,189.59
,61821650,RIP. TUBO DISTANZIATORE,82.24
,61821653,RIP. ELEMENTO DI COLLEGAMENTO TUBO,76.85
,61821710,RIP. GUANTO DI RIVESTIMENTO COSMETICO,133.47
,61821716,RIP. COMPLETA,3421.71
,61821719,RIP. TELAIO,87.2
,61821722,RIP. INVOLUCRO MORBIDO,89
,61821725,RIP. POLLICE,60.29
,61821728,RIP. MECCANISMO INTERNO,509.52
,61821731,RIP. DITA /INDICE MEDIO/,403.91
,61821734,RIP. REVISIONE MECCANISMO INTERNO,54.43
,61821737,RIP. FRIZIONE,201.58
,61821740,RIP. TELAIO COMPLETO,521.85
,61821741,RIP. REVISIONE TELAIO COMPLETA,40.65
,61821742,RIP. MOTORE E PRIMO RIDUTTORE,156.44
,61821743,RIP. COPPIA CONICA,145.58
,61821744,RIP. BLOCCAGGIO MOTORE,133.53
,61821746,RIP. PLANTARI, CORONA, MOLLA,99.87
,61821747,RIP. MOTORE ELETTRICO,175.08
,61821748,RIP. RIDUTTORE MOTORE,236.82
,61821749,RIP. POLSO A ROTAZIONE PASSIVA,313.44
,61821752,RIP. REVISONE POLSO ROTAZIONE PASSIVA,27.25
,61821753,RIP. FRIZIONE A SPINA COASSIALE,133.42
,61821755,RIP. POLSO A ROTAZIONE ATTIVA,605.67
,61821758,RIP. REVISONE POLSO A ROTAZIONE ATTIV,81.29
,61821759,RIP. POLSO A ROTAZIONE ELETTRICA,1885.61
,61821760,RIP. REVISIONE POLSO ROTAZIONE ELETTR,60.96
,61821761,RIP. RIDUZIONE A SPINA COASSIALE,638.88
,61821765,RIP. INVERTITORE DEL POLSO ELETTRICO,502.25
,61821766,RIP. MANO PER POLSO ELETTRICO,86.63
,61821767,RIP. ATTACCO PARTE MANO,621.99
,61821770,RIP. ATTACCO PARTE AVAMBRACCIO,161.95
,61821771,RIP. MOTORE ELETTRICO,214.25
,61821773,RIP. INVASATURA COMPL.PER AVAMBRACCIO,823.92
,61821776,RIP. ADATTAMENTO INVASAT.AVAMBRACCIO,111.52
,61821779,RIP. CALOTTA PER LA PRONO-SUPINAZIONE,249.27
,61821782,RIP. GOMITO COMPLETO ATTIVO,1392.82
,61821783,RIP. ASTA SUPER. GOMITO CINEMATICO,433.41
,61821784,RIP. ELEM. BLOCC. GOMITO CINEMATICO,272.35
,61821785,RIP. REVISIONE GOMITO COMPLETO ATTIVO,40.65
,61821786,RIP. CARTER PER GOMITO CINEMATICO,212.17
,61821788,RIP. ASTA DENTATA,471.63
,61821791,RIP. GOMITO ELETTRICO COMPLETO,4012.06
,61821792,RIP. MOTORE E PRIMO RIDUT. GOM. ELETR,524.94
,61821793,RIP. INTRA-EXTRAROTATORIA CON FRIZIO.,498.48
,61821794,RIP. MECCANISMO INTERNO,622.78
,61821795,RIP. SOSTITUZIONE DEI DUE MOTORI,232.44
,61821796,RIP. ELEMENTI BLOCCAGGIO AVAMBRACCIO,777.92
,61821797,RIP. INVOLUCRO ESTETICO,161.4
,61821800,RIP. TELAIO ESTERNO,2466.74
,61821803,RIP. REVISONE TOTALE GOMITO ELETTRICO,108.87
,61821804,RIP. CAVI MOTORE E MICRO PER GOM. ELE,155.65
,61821806,AVAMBRACCIO COMPLETO DI PROTESI,773.37
,61821809,RIP. INVASATURA COMPLETA PER BRACCIO,926.14
,61821812,RIP. ADATTAMENTO INVASATURA COMPLETA,111.52
,61821813,RIP. BRETELLAGGIO COMPLETO SEMPLICE,59.84
,61821814,RIP. BRETELLAGGIO COMPLETO,84.05
,61821815,RIP. BRETELLAGGIO COMPLETO,122.21
,61821821,RIP. SPALLA ARTICOLAZIONE E FRIZIONE,420.85
,61821824,RIP. REVISIONE ARTICOL.A FRIZIONE,81.4
,61821827,RIP. COLLEGAMENTO GOMITO SPALLA,203.73
,61821830,RIP. INVASATURA PER PATOLOGIE,1115.52
,61821831,RIP. INVAS. ARTICOLAZ. PASSIVA SPALLA,1248.26
,61821832,RIP. INVAS. ARTICOL. PASS. AVAMBRACCI,1193.82
,61821833,RIP. RIVESTIMENTO INTERNO ANALLERGICO,103.87
,61821836,RIP. BATTERIE,228.27
,61821839,RIP. REVISONE BATTERIE,177.05
,61821842,RIP. CARICA BATTERIA AUTOMATICO,238.57
,61821845,RIP. REVISONE CARICA BATTERIA AUTOMAT,150.98
,61821851,RIP. ELETTRODO PER AMPLIFICATORE,656.16
,61821854,RIP. REVISONE ELETTRODO PER AMPLIFIC.,356.79
,61821857,RIP. PARTE TERMINALE CIRCUITO ELETTR.,645.29
,61821860,RIP. REVISONE CIRCUITO ELETTRONICO,269.31
,61821863,RIP. CAVI COLLEGAMENTO CONNETTORI,71.33
,61821866,RIP. GRUPPO DI RACCORDO CON INTERRUTT,134.88
,61821869,RIP. CIRCUITO CAVI RACCORDO,85.46
,61821872,RIP. INTERRUTTORE A TRAZIONE,292.89
,61821875,RIP. DRIVER MULTICANALE,623.73
,61821878,RIP. RIPARAZ. PARZ. DRIVER MULTICANAL,269.31
,61821881,RIP. PORTA SPINA COASSIALE,108.53
,61821884,RIP. SPINA COASSIALE,139.55
,61821887,RIP. MICRO INTERRUTTORE,38.96
,61821899,RIP. MANIPOLARE ELETTRICO COMPLETO,3695.74
,61821900,RIP. MANIPOLARE ELETTRICO MOTORIDUTTO,1011.2
,61821901,RIP. MANIPOLARE ELETTRICO MOTORE,214.25
,61821902,RIP. RIDUTTORE,940.05
,61821905,RIP. REVISIONE,108.87
,61821908,RIP. BLOCCAGGIO CON RIDUTTORE,472.19
,61821911,RIP. ATTACCO RAPIDO,968.81
,61821912,RIP. PARTE TERMINALE CIRCUITO ELETTR.,601.16
,61821913,RIP. PORTA SPINA COASSIALE,106.84
,61821914,RIP. ELEM. PRESA SEMICOPERTURA GOMMA,593
,61821917,RIP. TUTTI I RIVESTIMENTI PLAS,286.7
,61821920,RIP. TELAIO,1183.08
,61821923,RIP. MANO TORRETTA,122.27
,61821926,RIP. MANO COPERTURA PLAS.ARTIC,104.76
,61821938,MANO MINIATURIZZATA PER BAMBINO,5541.28
,61821941,RIP. MANO ELETTRICA PER BAMBINO,1028.76
,61821944,RIP. MANO ELETTRICA PER BAMBINO,538.79
,62403003,PROTESI PER AMPUT. TRASMETATARSALE,521.57
,62403006,PROTESI PER AMP. TRASMETATARSALE,559.22
,62403009,PROTESI DI GAMBA TIPO LISFRANCE,577.35
,62406003,PROTESI DI GAMBA TIPO PIROGOFF,813.96
,62406006,PROTESI DI GAMBA TIPO PIROGOFF,1439.88
,62409003,PROTESI PROVVISORIA DI GAMBA,687.23
,62409006,PROTESI PROVVISORIA DI GAMBA,1031.87
,62409012,PROTESI TRADIZIONALE DI GAMBA,909.99
,62409015,PROTESI TRADIZIONALE DI GAMBA,1244.15
,62409018,PROTESI TRADIZIONALE DI GAMBA,1123.23
,62409021,PROTESI TRADIZIONALE DI GAMBA,1255.97
,62409024,PROTESI TRADIZIONALE DI GAMBA,1364.79
,62409033,CON APPOGGIO AL PIEDE (RIGIDO),1263.8
,62409036,PROTESI PER DEFORMITA' CONGENITA,1320.26
,62409039,PROTESI PER DEFORMITA'CONGENITA,1589.85
,62409063,PROTESI TEMPORANEA TRANSTIBIALE,994.66
,62409072,PROTESI DI GAMBA DI TIPO MODULARE,1266.78
,62409503,RIP. SMONT.E RIMONT.PIEDE,34.45
,62409506,RIP. PIEDE RIGIDO,SENZA PERNO,104.6
,62409509,RIP. PIEDE RIGIDO CON PARTE MALLEOLAR,176.14
,62409512,RIP. PIEDE ARTICOL.S/SNODO MALLEOLARE,93.78
,62409515,RIP. PIEDE ARTICOL.C/PARTE MALLEOLARE,164.1
,62409518,RIP. PIEDE ART.C/ARTIC.PLURIASSIALE,124.47
,62409521,RIP. PIEDE ART.C/PARTE MALLEOLARE,289.41
,62409524,RIP. PIEDE AMMORTIZZATORE ANTERIORE,3.77
,62409527,RIP. PIEDE AMMORTIZZATORE POSTERIORE,1.85
,62409530,RIP. PIEDE AMMORTIZZATORE A CULLA,12.77
,62409533,RIP. PIEDE CUNEO CALCANEARE,69.75
,62409536,RIP. PIEDE GUARNIZIONE ART.MALLEOLARE,22.57
,62409539,RIP. PIEDE PERNO FILETTATO FISSAGGIO,7.94
,62409542,RIP. PIEDE RIVESTIMENTO TOTALE,80.44
,62409545,RIP. PIEDE RIVEST.ART.MALLEOLARE A./P,31.24
,62409548,RIP. PIEDE SNODO MALLEOLARE,24.09
,62409551,RIP. PIEDE SNODO MALLEOLARE PLURIASS.,85.46
,62409554,RIP. PIEDE SUOLETTA CON AVAMPIEDE,60.12
,62409563,RIP. SMONT.E RIMONT.GAMBA,47.18
,62409566,RIP. ADATTAMENTO INVASATURA,100.26
,62409569,RIP. ALLACCIATURA ELEMENTO MOBILE,17.45
,62409584,RIP. ASTA ARTICOL.C/CUSCINETTO A SFER,195.45
,62409587,RIP. ASTA ARTICOLATA PARTE INFERIORE,107.57
,62409590,RIP. ASTA ARTICOLATA PARTE SUPERIORE,125.7
,62409593,RIP. CUSCINETTO A SFERE E VITE,19.14
